win,lose,probability
Boston Celtics,Orlando Magic,0.530414332488
Indiana Pacers,Phoenix Suns,0.633606088231
San Antonio Spurs,Chicago Bulls,0.637295920345
Portland Trail Blazers,Memphis Grizzlies,0.644498454806
New Orleans Pelicans,Philadelphia 76ers,0.828557481367
Toronto Raptors,Minnesota Timberwolves,0.856841732508
Golden State Warriors,Utah Jazz,0.694570730555
Washington Wizards,Denver Nuggets,0.783108738809
Boston Celtics,Toronto Raptors,0.535147852949
Charlotte Hornets,Orlando Magic,0.775196736495
Cleveland Cavaliers,Miami Heat,0.8001811099
Dallas Mavericks,Indiana Pacers,0.596444190012
Los Angeles Lakers,Phoenix Suns,0.537230160963
Atlanta Hawks,Milwaukee Bucks,0.542567980651
Minnesota Timberwolves,Detroit Pistons,0.581844243137
Oklahoma City Thunder,Houston Rockets,0.824050471574
Sacramento Kings,New York Knicks,0.622035698862
Miami Heat,Chicago Bulls,0.527601198185
Cleveland Cavaliers,Charlotte Hornets,0.837749806032
Houston Rockets,Dallas Mavericks,0.61554951473
Indiana Pacers,Portland Trail Blazers,0.535077901451
Los Angeles Clippers,New Orleans Pelicans,0.830560156755
Golden State Warriors,Memphis Grizzlies,0.770887077937
Orlando Magic,Denver Nuggets,0.706051811084
San Antonio Spurs,Brooklyn Nets,0.948886434555
Utah Jazz,Sacramento Kings,0.712509542479
Washington Wizards,Milwaukee Bucks,0.777790990185
Detroit Pistons,Philadelphia 76ers,0.909722235429
New York Knicks,Los Angeles Lakers,0.565228795534
Golden State Warriors,Minnesota Timberwolves,0.740884348527
Oklahoma City Thunder,Boston Celtics,0.796246500849
Phoenix Suns,New Orleans Pelicans,0.555198219591
Dallas Mavericks,Denver Nuggets,0.773179703148
Houston Rockets,Brooklyn Nets,0.870385266543
Indiana Pacers,Charlotte Hornets,0.636605110663
Los Angeles Clippers,Portland Trail Blazers,0.566529764014
Miami Heat,Washington Wizards,0.722033244369
Sacramento Kings,Los Angeles Lakers,0.720323614987
Toronto Raptors,Milwaukee Bucks,0.868268398951
Atlanta Hawks,Orlando Magic,0.770345309608
Chicago Bulls,Minnesota Timberwolves,0.727943724132
Cleveland Cavaliers,Memphis Grizzlies,0.911349939238
Golden State Warriors,New Orleans Pelicans,0.808158069117
Phoenix Suns,New York Knicks,0.501093947262
Portland Trail Blazers,Oklahoma City Thunder,0.562274619641
Brooklyn Nets,Los Angeles Lakers,0.544624318611
Dallas Mavericks,Detroit Pistons,0.645822070137
Houston Rockets,Sacramento Kings,0.749665338585
Cleveland Cavaliers,Memphis Grizzlies,0.777121935564
Miami Heat,Indiana Pacers,0.698054665704
Los Angeles Clippers,Orlando Magic,0.569835212177
Toronto Raptors,Philadelphia 76ers,0.880145514883
San Antonio Spurs,Boston Celtics,0.801066500818
Oklahoma City Thunder,Utah Jazz,0.607593385129
Washington Wizards,Charlotte Hornets,0.578307367522
Portland Trail Blazers,Denver Nuggets,0.642330674131
Golden State Warriors,New York Knicks,0.916496406661
Chicago Bulls,Milwaukee Bucks,0.562975543773
Indiana Pacers,New Orleans Pelicans,0.566410489509
San Antonio Spurs,Phoenix Suns,0.800171314467
Boston Celtics,Charlotte Hornets,0.645137638483
Chicago Bulls,Milwaukee Bucks,0.746616348702
Houston Rockets,New Orleans Pelicans,0.787166364999
Memphis Grizzlies,Sacramento Kings,0.626177431778
Miami Heat,Los Angeles Clippers,0.626275161827
Orlando Magic,Brooklyn Nets,0.803206693051
Los Angeles Lakers,Philadelphia 76ers,0.599785369107
Toronto Raptors,Atlanta Hawks,0.737177005744
Utah Jazz,Dallas Mavericks,0.569907998328
Washington Wizards,Detroit Pistons,0.65886640517
Atlanta Hawks,Charlotte Hornets,0.651137642898
Cleveland Cavaliers,Los Angeles Lakers,0.941249462767
Denver Nuggets,New York Knicks,0.626932826565
Detroit Pistons,Indiana Pacers,0.614812982146
Golden State Warriors,Portland Trail Blazers,0.784332171105
Minnesota Timberwolves,Houston Rockets,0.534674631219
Oklahoma City Thunder,Phoenix Suns,0.923374843425
Dallas Mavericks,Sacramento Kings,0.72091104411
Utah Jazz,Memphis Grizzlies,0.500616428866
Miami Heat,Boston Celtics,0.66276515888
Toronto Raptors,Orlando Magic,0.633827320737
Brooklyn Nets,Philadelphia 76ers,0.509668602678
San Antonio Spurs,New Orleans Pelicans,0.910910122806
Washington Wizards,Los Angeles Clippers,0.531560853192
Chicago Bulls,Detroit Pistons,0.619176396718
Dallas Mavericks,Denver Nuggets,0.525185382365
Indiana Pacers,Washington Wizards,0.692011844468
Minnesota Timberwolves,Phoenix Suns,0.747249585673
Oklahoma City Thunder,Atlanta Hawks,0.813917301708
Charlotte Hornets,Los Angeles Lakers,0.856190174739
Golden State Warriors,Utah Jazz,0.868020684605
San Antonio Spurs,Houston Rockets,0.574719480379
Los Angeles Clippers,Denver Nuggets,0.839682829612
Boston Celtics,Memphis Grizzlies,0.551039616965
Miami Heat,Orlando Magic,0.784469590583
Cleveland Cavaliers,Milwaukee Bucks,0.790419380549
Indiana Pacers,New York Knicks,0.586958964821
New Orleans Pelicans,Philadelphia 76ers,0.65364947719
Portland Trail Blazers,Sacramento Kings,0.647114023963
Toronto Raptors,Brooklyn Nets,0.920337638901
Atlanta Hawks,Minnesota Timberwolves,0.812238623405
Chicago Bulls,Washington Wizards,0.596888808565
Cleveland Cavaliers,Milwaukee Bucks,0.929470928384
Detroit Pistons,Memphis Grizzlies,0.735726787827
Oklahoma City Thunder,New Orleans Pelicans,0.741488110309
Houston Rockets,Phoenix Suns,0.629271305818
Portland Trail Blazers,Dallas Mavericks,0.724936432515
Utah Jazz,Sacramento Kings,0.712509542479
Golden State Warriors,Brooklyn Nets,0.879939305461
Indiana Pacers,Boston Celtics,0.629626133164
San Antonio Spurs,Los Angeles Clippers,0.504864714823
Miami Heat,Los Angeles Lakers,0.862713815122
New York Knicks,Orlando Magic,0.525589224808
Oklahoma City Thunder,Boston Celtics,0.514095985037
Charlotte Hornets,Chicago Bulls,0.6574011889
Cleveland Cavaliers,Brooklyn Nets,0.958504909732
Atlanta Hawks,Denver Nuggets,0.520676673664
Golden State Warriors,Detroit Pistons,0.668913693845
Los Angeles Clippers,Dallas Mavericks,0.679695756453
Houston Rockets,Memphis Grizzlies,0.505958554625
Washington Wizards,Milwaukee Bucks,0.501106574984
Minnesota Timberwolves,Sacramento Kings,0.663428251238
Miami Heat,New Orleans Pelicans,0.657852346299
Orlando Magic,Los Angeles Lakers,0.738959287605
Phoenix Suns,Philadelphia 76ers,0.784982253336
Portland Trail Blazers,San Antonio Spurs,0.549152812254
Toronto Raptors,Utah Jazz,0.559709887707
Cleveland Cavaliers,Golden State Warriors,0.646360393256
Los Angeles Clippers,Los Angeles Lakers,0.756997146604
Boston Celtics,New York Knicks,0.625701127072
Oklahoma City Thunder,Minnesota Timberwolves,0.903228476099
San Antonio Spurs,Chicago Bulls,0.80582098705
Charlotte Hornets,Brooklyn Nets,0.721789291472
Chicago Bulls,Indiana Pacers,0.568565343475
Cleveland Cavaliers,Detroit Pistons,0.67675997147
Houston Rockets,Phoenix Suns,0.817904693906
Los Angeles Clippers,Denver Nuggets,0.839682829612
Minnesota Timberwolves,Atlanta Hawks,0.517631310996
Dallas Mavericks,New Orleans Pelicans,0.582983803244
Orlando Magic,Memphis Grizzlies,0.644944183233
Portland Trail Blazers,Toronto Raptors,0.610073507171
Sacramento Kings,Philadelphia 76ers,0.85677548617
Washington Wizards,Milwaukee Bucks,0.777790990185
Boston Celtics,Memphis Grizzlies,0.783534510552
Dallas Mavericks,Houston Rockets,0.600919381006
Utah Jazz,Los Angeles Lakers,0.684495433321
Miami Heat,Oklahoma City Thunder,0.512885844344
Atlanta Hawks,New York Knicks,0.787262360454
Chicago Bulls,Brooklyn Nets,0.83778729078
Denver Nuggets,Minnesota Timberwolves,0.662666836869
Detroit Pistons,Milwaukee Bucks,0.78112522007
Golden State Warriors,Toronto Raptors,0.778043355179
Los Angeles Clippers,New Orleans Pelicans,0.643136171748
Charlotte Hornets,Orlando Magic,0.522924296723
Portland Trail Blazers,Sacramento Kings,0.831347793221
San Antonio Spurs,Phoenix Suns,0.92546898787
Washington Wizards,Indiana Pacers,0.610209488928
Charlotte Hornets,Miami Heat,0.598091552772
Cleveland Cavaliers,Boston Celtics,0.833624218694
Dallas Mavericks,Los Angeles Lakers,0.707302428046
Oklahoma City Thunder,Memphis Grizzlies,0.696134651425
Toronto Raptors,Phoenix Suns,0.757127031595
Utah Jazz,Philadelphia 76ers,0.899524132959
Atlanta Hawks,Detroit Pistons,0.724413618459
Boston Celtics,Miami Heat,0.585059988052
Denver Nuggets,Philadelphia 76ers,0.859319042905
Golden State Warriors,Dallas Mavericks,0.855172610253
Houston Rockets,Los Angeles Clippers,0.553972027549
Indiana Pacers,Chicago Bulls,0.636619354467
Minnesota Timberwolves,Milwaukee Bucks,0.716047919569
New Orleans Pelicans,New York Knicks,0.570740601947
San Antonio Spurs,Portland Trail Blazers,0.731628881437
Washington Wizards,Brooklyn Nets,0.859850453707
Chicago Bulls,Milwaukee Bucks,0.746616348702
Cleveland Cavaliers,Charlotte Hornets,0.60407505611
Houston Rockets,New York Knicks,0.748496223393
Oklahoma City Thunder,Los Angeles Clippers,0.769169332845
Sacramento Kings,Memphis Grizzlies,0.62302076216
